direction,relation,relex_relcos,sentence,term1,term2
no_relation,causes,0.566138517072298,"Varicella zoster virus (VZV) is the herpesvirus which causes the childhood disease VARICELLA also known as CHICKENPOX and the adult disease herpes zoster, also known as shingles.",VARICELLA,CHICKENPOX
RILUZOLE treats AMYOTROPHIC LATERAL SCLEROSIS,treats,0.943456353049726,RILUZOLE for AMYOTROPHIC LATERAL SCLEROSIS (ALS)/motor neuron disease (MND.,AMYOTROPHIC LATERAL SCLEROSIS,RILUZOLE
TRICYCLIC ANTIDEPRESSANTS treats DEPRESSION,treats,0.981980506061966,"Other disorders, along with the migraine medications that may be effective against them, include epilepsy (divalproex sodium, topiramate, and gabapentin), hypertension (beta blockers), DEPRESSION (TRICYCLIC ANTIDEPRESSANTS venlafaxine), bipolar disorder (divalproex sodium), insomnia (tricyclic antidepressants), essential tremor (beta blockers and topiramate), and overweight or obesity (topiramate.",DEPRESSION,TRICYCLIC ANTIDEPRESSANTS
BONE MARROW location MYELOGENOUS LEUKEMIA,location,0.848528137423857,This study shows that both recombinant human interleukin (rhIL)3 and rhIL4 induced proliferation in BONE MARROW (BM) cells of MYELOGENOUS LEUKEMIA patients in a manner similar to that reported using normal BM cells.,BONE MARROW,MYELOGENOUS LEUKEMIA
CHRONIC DIARRHEA causes LOOSE STOOLS,causes,0.9354143466934848,CHRONIC DIARRHEA can be defined as the passage of more than 3 LOOSE STOOLS per day during more than 4 weeks.,LOOSE STOOLS,CHRONIC DIARRHEA
VIRUS causes VIRAL INFECTION,causes,0.848874687627165,We apply well established principles of modelling VIRUS dynamics to the study of chronic VIRAL INFECTION demonstrating that a model which incorporates the distinct contributions of cytotoxic T lymphocytes (CTLs) and antibodies exhibits long periods of quiescence followed by brief bursts of viral production.,VIRUS,VIRAL INFECTION
BLISTERING SKIN DISEASE PEMPHIGUS causes SKIN WOUNDS,causes,0.790569415042095,The activation of the urokinase system has been observed during re epithelialization of SKIN WOUNDS and in lesions of the autoimmune BLISTERING SKIN DISEASE PEMPHIGUS,SKIN WOUNDS,BLISTERING SKIN DISEASE PEMPHIGUS
no_relation,treats,0.480384461415261,The robust neuroendocrine counterregulatory responses induced by hypoglycemia protect the brain by restoring PLASMA GLUCOSE but little is known about molecular responses to HYPOGLYCEMIA that may also be neuroprotective.,HYPOGLYCEMIA,PLASMA GLUCOSE
no_relation,causes,0.707106781186547,"2]  Kastelein JJ, Akdim F, Stroes ES, Zwinderman AH, Bots ML, Stalenhoef AF, et al. Simvastatin with or without EZETIMIBE in FAMILIAL HYPERCHOLESTEROLEMIA",FAMILIAL HYPERCHOLESTEROLEMIA,EZETIMIBE
PHEOCHROMOCYTOMA causes HYPERTENSION,causes,0.948683298050514,Evidence: ? Patients with identifiable causes of HYPERTENSION such as PHEOCHROMOCYTOMA and renal disease have unique perioperative considerations ( 12.,HYPERTENSION,PHEOCHROMOCYTOMA
ACEBUTOLOL treats HYPERTENSION,treats,1.0,Aldactone and ACEBUTOLOL in treatment of HYPERTENSION,HYPERTENSION,ACEBUTOLOL
no_relation,causes,0.3651483716701111,"Depending on video EEG recordings and witnessed accounts, 18 of the patients had no seizures recorded, 160 had epileptic seizures and 18 had PSYCHOGENIC NON EPILEPTIC SEIZURES four of whom had psychogenic non epileptic seizures plus true EPILEPTIC SEIZURES",PSYCHOGENIC NON EPILEPTIC SEIZURES,EPILEPTIC SEIZURES
ANTIPYRINE treats EAR PAIN (OTALGIA EARACHE,treats,1.0,"r  Otic Pain  Used alone or in fixed combination with ANTIPYRINE for the temporary relief of EAR PAIN (OTALGIA EARACHE associated with otitis media of various causes; however, single ingredient preparations no longer commercially available in the US.",EAR PAIN (OTALGIA EARACHE,ANTIPYRINE
LOW MOLECULAR WEIGHT HEPARIN treats RECURRENT VENOUS THROMBOEMBOLISM,treats,0.993883734673619,LOW MOLECULAR WEIGHT HEPARIN versus a coumarin for the prevention of RECURRENT VENOUS THROMBOEMBOLISM in patients with cancer.,RECURRENT VENOUS THROMBOEMBOLISM,LOW MOLECULAR WEIGHT HEPARIN
L DOPA treats PARKINSON'S DISEASE,treats,0.9918365981341758,"The drug L Dopa is used in the treatment of PARKINSON'S DISEASE (PD), and patients often experience fluctuations in performance after a period of time taking L DOPA.",PARKINSON'S DISEASE,L DOPA
GRAM NEGATIVE SEPSIS causes SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,causes,0.99654575824488,"During GRAM NEGATIVE SEPSIS endotoxin lipopolysaccharide (LPS) may activate host inflammatory responses, resulting in the SYSTEMIC INFLAMMATORY RESPONSE SYNDROME and the adult respiratory distress syndrome.",SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,GRAM NEGATIVE SEPSIS
PROPOFOL treats REFRACTORY STATUS EPILEPTICUS,treats,0.995893206467704,"Treatment of REFRACTORY STATUS EPILEPTICUS with pentobarbital, PROPOFOL or midazolam: a systematic review.",REFRACTORY STATUS EPILEPTICUS,PROPOFOL
IMMUNOSUPPRESSIVE MEDICATIONS causes DRUG SIDE EFFECTS,causes,0.903696114115064,"? An infectious disease specialist for management of prophylactic antibiotic therapy and concomitant infections due to Wegener's granulomatosis or IMMUNOSUPPRESSIVE MEDICATIONS ? An ophthalmologist for ocular involvement and to monitor for DRUG SIDE EFFECTS such as cataracts from prednisone ? A neurologist for management of new neurologic complications ? Physical and occupational therapists to improve strength and function in patients with vasculitis and neurologic complications  Rationale: ? Organ specific specialists in fields such as otolaryngology, pulmonology, dermatology, neurology, and nephrology should be consulted depending on the nature and severity of end.",IMMUNOSUPPRESSIVE MEDICATIONS,DRUG SIDE EFFECTS
BRANCHING (CASTING TYPE CALCIFICATIONS causes DCIS,causes,0.956182887467515,Multiple calcifications occurred in the necrotic core of the continuous DCIS resulting in linear and BRANCHING (CASTING TYPE CALCIFICATIONS a hallmark of high grade DCIS on mammograms.,BRANCHING (CASTING TYPE CALCIFICATIONS,DCIS
no_relation,treats,0.696310623822791,Lieberman A. Long term experience with selegiline and LEVODOPA in PARKINSON'S DISEASE,PARKINSON'S DISEASE,LEVODOPA
no_relation,diagnosis,0.387298334620742,We collected resource use data prospectively for 930 patients alongside a multinational trial of ZOLEDRONIC ACID versus pamidronate for patients with METASTATIC MULTIPLE MYELOMA or breast cancer and > or =1 bone lesion.,METASTATIC MULTIPLE MYELOMA,ZOLEDRONIC ACID
no_relation,causes,0.560112033611204,The evidence reviewed here supports the hypothesis that metal catalyzed oxidation reactions occur in the lens and may make a significant contribution to the changes seen in the LENS with age and in CATARACT FORMATION.,LENS,CATARACT FORMATION
MALT LYMPHOMAS causes LYMPHOEPITHELIAL LESIONS,causes,0.629940788348712,High grade lymphomas were classified in three groups based on the presence or absence of a low grade component and LYMPHOEPITHELIAL LESIONS (LELs): 1) high grade MALT lymphomas appearing in low grade MALT LYMPHOMAS (LG/HG MALT lymphoma); 2) large cell lymphoma with LELs composed of large cells (high grade LELs) but without a low grade component (HG MALT lymphoma); and 3) diffuse large cell lymphoma without a low grade MALT lymphoma component or LELs (DLCL.,LYMPHOEPITHELIAL LESIONS,MALT LYMPHOMAS
PARACETAMOL treats PAIN,treats,0.997054485501582,Measles patients with an acute ear infection should receive PARACETAMOL for PAIN and fever and an antibiotic for the infection.,PAIN,PARACETAMOL
COMPLEX FEBRILE SEIZURES causes EPILEPSY,causes,0.9438798074485388,"B]  Specific recommendation: ? Tell parents and caretakers that: ? The risk of developing epilepsy after a simple febrile seizure is small and is only slightly greater than the background risk in the population ? The following factors place the child at a higher risk for the development of epilepsy: ? Previous neurologic abnormality ? COMPLEX FEBRILE SEIZURES ? Family history of epilepsy ? Recurrent febrile seizures  Rationale: ? Development of EPILEPSY is another major concern that families often have, and it can be difficult to assess the risk of epilepsy on an.",COMPLEX FEBRILE SEIZURES,EPILEPSY
QUINIDINE treats VENTRICULAR TACHYCARDIA (VT),treats,0.9838699100999068,The efficacy of mexiletine and QUINIDINE in controlling ventricular couplets (VC) and VENTRICULAR TACHYCARDIA (VT) was compared in 156 trials (78 for each drug) in 114 consecutive patients.,VENTRICULAR TACHYCARDIA (VT),QUINIDINE
TYPE A BOTULINUM TOXIN treats BLEPHAROSPASM,treats,0.9950371902099888,Treatment with TYPE A BOTULINUM TOXIN appears to be a safe and effective means of temporarily relieving BLEPHAROSPASM,BLEPHAROSPASM,TYPE A BOTULINUM TOXIN
SKIN location GENERALIZED HIVES,location,0.9830783046228492,"Acute onset of an illness (over minutes to several hours) involving the SKIN mucosal tissue, or both (e.g., GENERALIZED HIVES; pruritus or flushing; swollen lips, tongue, or uvula) and at least one of the following:  a.",SKIN,GENERALIZED HIVES
no_relation,causes,0.6868028197434449,"CENTRAL NERVOUS SYSTEM (CNS) embryonal tumors are devastating cancers in children, consisting of MEDULLOBLASTOMAS CNS primitive neuroectodermal tumors, and atypical teratoid/rhabdoid tumors.",CENTRAL NERVOUS SYSTEM,MEDULLOBLASTOMAS
CEREBELLUM location CEREBELLAR ATAXIA,location,0.855186110494136,The laterality of CEREBELLAR ATAXIA was significantly correlated with AI in the CEREBELLUM in patients with sOPCA.,CEREBELLUM,CEREBELLAR ATAXIA
FLUORIDE treats DENTAL CARIES,treats,0.994134846772434,This paper reviews the probable mechanism of DENTAL CARIES and the role of FLUORIDE in the inhibition or reversal of that process.,DENTAL CARIES,FLUORIDE
BREAST EPITHELIAL STEM CELLS location BREAST CANCER,location,0.9494253265550828,BREAST EPITHELIAL STEM CELLS are thought to be the primary targets in the aetiology of BREAST CANCER,BREAST EPITHELIAL STEM CELLS,BREAST CANCER
PROPRANOLOL treats HYPERTENSION,treats,0.963086824686154,"van Schaik BAM, Geyskes GG, Kettner N et al. Comparison of enalapril and PROPRANOLOL in essential HYPERTENSION",HYPERTENSION,PROPRANOLOL
no_relation,causes,0.943456353049726,SELENIUM (SE) DEFICIENCY is said to contribute to the atrophy of the thyroid gland in certain ENDEMIC GOITER areas in Africa.,ENDEMIC GOITER,SELENIUM (SE) DEFICIENCY
PRINZMETAL VARIANT ANGINA diagnosis ERGOMETRINE,diagnosis,0.970142500145332,"ERGOMETRINE is currently used as a test for PRINZMETAL VARIANT ANGINA causing specifically a coronary artery spasm in these patients, even if the mechanism of this drug on coronaries is still unclear.",PRINZMETAL VARIANT ANGINA,ERGOMETRINE
no_relation,causes,0.7293249574894731,Genetic ablation of the chromogranin A (Chga) gene in mice increases blood pressure and pretreatment of Chga null mice with Cts prevents BLOOD PRESSURE ELEVATION indicating a direct role of Cts in preventing HYPERTENSION,BLOOD PRESSURE ELEVATION,HYPERTENSION
no_relation,causes,0.314485451016576,"Microscopic examination of the resected specimen revealed a MALIGNANT MELANOMA which was confirmed by immunohistochemical staining for HMB 45, S 100 protein, MELANOMA PAN and vimentin.",MELANOMA PAN,MALIGNANT MELANOMA
ERGONOVINE causes VASOSPASTIC ANGINA PECTORIS,causes,0.9578262852211508,"For clarification of the characteristic features of ventricular arrhythmias during acute myocardial ischemia, ventricular arrhythmias were studied in 81 patients with VASOSPASTIC ANGINA PECTORIS induced by ERGONOVINE",VASOSPASTIC ANGINA PECTORIS,ERGONOVINE
FLUORIDES treats CARIES,treats,0.953462589245592,In the past the inhibition of CARIES by FLUORIDES was ascribed to the reduced solubility of enamel due to the incorporation of F  into the enamel mineral.,CARIES,FLUORIDES
DOG HYPERSENSITIVITY causes DOG HYPERSENSITIVITY SYMPTOMS,causes,0.964763821237732,"However, the children who were exposed to a dog at home during early childhood developed DOG HYPERSENSITIVITY SYMPTOMS significantly earlier and had DOG HYPERSENSITIVITY slightly more often than the subjects with a later exposure or no exposure to dog.",DOG HYPERSENSITIVITY SYMPTOMS,DOG HYPERSENSITIVITY
GRADED PORTAL VEIN STENOSIS causes PORTAL HYPERTENSION,causes,0.970494958830946,PORTAL HYPERTENSION was induced by GRADED PORTAL VEIN STENOSIS whereas controls had a sham operation.,GRADED PORTAL VEIN STENOSIS,PORTAL HYPERTENSION
DIABETIC KETOACIDOSIS causes DIABETES MELLITUS,causes,0.609994281330419,Rationale: ? A significant number of new cases of DIABETES MELLITUS begin as DIABETIC KETOACIDOSIS,DIABETIC KETOACIDOSIS,DIABETES MELLITUS
no_relation,causes,0.338061701891407,Our observations and descriptions in the literature indicate that the presence and degrees of AMYLOID DEPOSITION in the skeletal muscles would be related to the types of amyloid proteins in AMYLOIDOSIS,AMYLOID DEPOSITION,AMYLOIDOSIS
LATENT HYPERCORTISOLISM diagnosis DEXAMETHASONE,diagnosis,0.99654575824488,"The crucial points of the French consensus are: the usefulness of CT scanning evaluation of adrenal incidentalomas, the systematic screening for pheochromocytoma, the usefulness of the 1mg overnight DEXAMETHASONE test to screen for LATENT HYPERCORTISOLISM the difficulty to interpret mild biological abnormalities of the HPA axis, the consensus to remove surgically most of tumours greater than 4cm, the necessity to follow clinically glucorticoid tissular targets in the follow up of non operated benign adrenocortical incidentalomas.",LATENT HYPERCORTISOLISM,DEXAMETHASONE
BLADDER location BLADDER INJURY,location,1.0,Intraperitoneal rupture usually involves the bladder dome; it often occurs when the bladder is distended at the time of trauma and is the most common BLADDER INJURY in children because the BLADDER lies in the abdomen.,BLADDER,BLADDER INJURY
ENDOMETRIAL CANCER diagnosis POSTMENOPAUSAL BLEEDING,causes,0.707106781186547,? A prospective study was done to evaluate the role of three dimensional vs. two dimensional TVUS in diagnosing ENDOMETRIAL CANCER in patients with a history of POSTMENOPAUSAL BLEEDING,POSTMENOPAUSAL BLEEDING,ENDOMETRIAL CANCER
HYPERTHERMIA treats HEPATOCELLULAR CARCINOMA,treats,0.9578262852211508,"In view of acceptable toxicities and the current rate of survival, further evaluation of combined treatment of radiotherapy and HYPERTHERMIA for unresectable HEPATOCELLULAR CARCINOMA is warranted.",HYPERTHERMIA,HEPATOCELLULAR CARCINOMA
RISPERIDONE treats DEMENTIA,treats,0.997054485501582,"1]  Brodaty H, Ames D, Snowdon J, Woodward M, Kirwan J, Clarnette R, et al A randomized placebo controlled trial of RISPERIDONE for the treatment of aggression, agitation, and psychosis of DEMENTIA",DEMENTIA,RISPERIDONE
ERGONOVINE treats VARIANT ANGINA PECTORIS,treats,0.9594032236002472,Transient prolongation of the corrected Q T interval preceded spontaneous or ergonovine maleate provoked coronary spasm in 11 patients with VARIANT ANGINA PECTORIS whereas no significant change in the Q T interval followed ERGONOVINE administration in 27 control patients with atypical chest pain who did not have coronary spasm.,VARIANT ANGINA PECTORIS,ERGONOVINE
no_relation,location,0.508000508000762,Because histologically prominent MICROVASCULAR PROLIFERATION is frequently present in GLIOBLASTOMA MULTIFORME it has been hypothesized that this neoplasm is particularly dependent on neovascularization for its continued growth and that antiangiogenic therapy might be especially useful.,MICROVASCULAR PROLIFERATION,GLIOBLASTOMA MULTIFORME
no_relation,treats,0.4472135954999579,"If the oxygen is too low, the incidence of DECOMPRESSION SICKNESS increases; if the OXYGEN is too high, oxygen poisoning becomes a problem.",DECOMPRESSION SICKNESS,OXYGEN
MAGNESIUM DEFICIENCY diagnosis MAGNESIUM TOLERANCE TEST,diagnosis,0.987878339907213,"The diagnosis of MAGNESIUM DEFICIENCY is usually made by a low serum magnesium concentration, although the MAGNESIUM TOLERANCE TEST may be more indicative of low magnesium states.",MAGNESIUM DEFICIENCY,MAGNESIUM TOLERANCE TEST
ARSENIC TRIOXIDE treats PROMYELOCYTIC LEUKEMIA (APML),treats,0.987878339907213,A total of 11 children (five males and six females) with hypergranular type of acute PROMYELOCYTIC LEUKEMIA (APML) were treated with intravenous ARSENIC TRIOXIDE (As(2)O(3)) between December 1998 and October 2003.,PROMYELOCYTIC LEUKEMIA (APML),ARSENIC TRIOXIDE
no_relation,treats,0.668153104781061,"Among the compounds tested, 1 (2 hydroxy 3 (4 phenylpiperidin 1 yl) propylpyrrolidin 2 one (5) was the most active in the PROPHYLACTIC ANTIARRHYTHMIC ACTIVITY in ADRENALINE INDUCED ARRHYTHMIA in anesthetized rats.",ADRENALINE INDUCED ARRHYTHMIA,PROPHYLACTIC ANTIARRHYTHMIC ACTIVITY
SMALL INTESTINE location MALABSORPTION,causes,0.311085508419128,"Gastrografin accelerated small bowel transit, leading to MALABSORPTION of the xylose in the SMALL INTESTINE and subsequent colonic metabolism of the xylose.",SMALL INTESTINE,MALABSORPTION
no_relation,causes,0.643267520902677,"Bladder cancer screening differs from routine detection of bladder cancer in patients with symptoms, such as HEMATURIA or a history of BLADDER CANCER.",HEMATURIA,BLADDER CANCER
FIRST LINE ANTITUBERCULOSIS DRUGS treats MYCOBACTERIUM TUBERCULOSIS,treats,0.9578262852211508,"Ruiz Serrano MJ, Alcala L, Martinez L et al. In vitro activities of six fluoroquinolones against 250 clinical isolates of   MYCOBACTERIUM TUBERCULOSIS  susceptible or resistant to FIRST LINE ANTITUBERCULOSIS DRUGS.",MYCOBACTERIUM TUBERCULOSIS,FIRST LINE ANTITUBERCULOSIS DRUGS
LIDOCAINE treats PAIN,treats,0.9897433186107868,This study concluded that the addition of LIDOCAINE significantly reduced the PAIN felt in the circulatory tract selected for the injection of propofol.,PAIN,LIDOCAINE
ANAPLASTIC ASTROCYTOMAS treats ANAPLASIA,treats,0.37210420376762493,ANAPLASTIC ASTROCYTOMAS and glioblastomas showed progressive reduction of parenchymal positivity as ANAPLASIA increased.,ANAPLASIA,ANAPLASTIC ASTROCYTOMAS
SCHIZOPHRENIA causes HALLUCINATIONS,causes,0.979957887012223,"1   Simple SCHIZOPHRENIA denotes a milder psychosis (i.e., fewer HALLUCINATIONS and delusions and less disorganization), with cases typically featuring a schizoid lifestyle of reduced emotional experience and expression and reduced social drive and engagement.",HALLUCINATIONS,SCHIZOPHRENIA
no_relation,causes,0.445435403187374,OBSTRUCTIVE SLEEP APNOEA (OSA) is characterised by repetitive collapse of the upper airway during sleep owing to a sleep related decrement in UPPER AIRWAY muscle activity with consequent failure of the pharyngeal dilator muscles to oppose the collapsing pressure that is generated by the diaphragm and accessory muscles during inspiration.,UPPER AIRWAY,OBSTRUCTIVE SLEEP APNOEA (OSA)
VENOUS THROMBOSIS diagnosis THROMBOSED VEINS,diagnosis,0.43301270189221897,"In three patients THROMBOSED VEINS were documented by venography and in all five cases, the presence of VENOUS THROMBOSIS was substantiated by the clinical findings.",THROMBOSED VEINS,VENOUS THROMBOSIS
DERMATOSES OF DIVERSE ETIOLOGIES causes SKIN DISEASES,causes,0.304997140665209,The spectrum of SKIN DISEASES in such patients encompasses DERMATOSES OF DIVERSE ETIOLOGIES; a few are peculiar to patients with HIV while others are not.,SKIN DISEASES,DERMATOSES OF DIVERSE ETIOLOGIES
LATE SYSTEMIC ALLERGIC REACTIONS causes NUMBER OF SYSTEMIC ALLERGIC,causes,0.4170288281141501,We conclude that LATE SYSTEMIC ALLERGIC REACTIONS account for a significant percent of the total NUMBER OF SYSTEMIC ALLERGIC reactions to inhalant allergen immunotherapy.,NUMBER OF SYSTEMIC ALLERGIC,LATE SYSTEMIC ALLERGIC REACTIONS
BURKHOLDERIA PSEUDOMALLEI causes MELIOIDOSIS,causes,1.0,BURKHOLDERIA PSEUDOMALLEI is a gram negative bacillus that is the causative agent of MELIOIDOSIS,BURKHOLDERIA PSEUDOMALLEI,MELIOIDOSIS
HYPERTENSION causes ACUTE HYPERTENSIVE ENCEPHALOPATHY,causes,0.9931270663228408,Headache may occasionally be caused by severe HYPERTENSION which may also lead to the rare syndrome of ACUTE HYPERTENSIVE ENCEPHALOPATHY,HYPERTENSION,ACUTE HYPERTENSIVE ENCEPHALOPATHY
no_relation,causes,0.9494253265550828,"Cutaneous sensitivity to histamine, responses to prick tests with allergens, and serum IgE concentrations were measured and hay fever assessed by questionnaire in an unselected population to determine whether increased sensitivity to histamine is an independent phenomenon contributing to ALLERGIC DISORDERS or may be caused by ALLERGIC REACTIONS",ALLERGIC DISORDERS,ALLERGIC REACTIONS
no_relation,location,0.304997140665209,"Affinity labelling with a 125I labelled photoactive derivative of TSH (HSAB TSH) was used to analyse TSH receptor size in the following specimens of human thyroid tissue: (1) COLD NODULES; (2) autonomous nodules; (3) papillary carcinoma; (4) MEDULLARY CARCINOMA; (5) metastasis of papillary carcinoma to lymph node; (6) anaplastic carcinoma, and (7) Graves' thyroid.",COLD NODULES,MEDULLARY CARCINOMA
SYPHILIS diagnosis TREPONEMA PALLIDUM,diagnosis,0.9237604307034007,The CAPTIA Syphilis G enzyme immunoassay for the detection of antibodies to TREPONEMA PALLIDUM was evaluated as a screening test for SYPHILIS in comparison with the standard rapid plasma reagin (RPR) test.,TREPONEMA PALLIDUM,SYPHILIS
LUNGS location LUNG CANCER,location,0.981980506061966,The distribution of ferruginous bodies in the LUNGS of ten LUNG CANCER patients with definite occupational history of asbestos exposure and the kind of core fibers in the center of the ferruginous bodies were evaluated.,LUNGS,LUNG CANCER
SERTRALINE treats DEPRESSION,treats,0.929981109950554,"Bupropion SR, SERTRALINE or venlafaxine XR after failure of SSRIs for depression  Medication augmentation after the failure of SSRIs for DEPRESSION.",DEPRESSION,SERTRALINE
MICROCALCIFICATION diagnosis DCIS,diagnosis,0.37210420376762493,"If only these 139 'true negative' screens are analysed, similar associations are seen between microcalcification on previous films and subsequent finding of DCIS (P=0.03) and between MICROCALCIFICATION on previous films and high grade invasive ductal carcinomas (P=0.015.",MICROCALCIFICATION,DCIS
CONVENTIONAL INTENSITY WARFARIN THERAPY treats RECURRENT VENOUS THROMBOEMBOLISM,treats,0.9950371902099888,Comparison of low intensity warfarin therapy with CONVENTIONAL INTENSITY WARFARIN THERAPY for long term prevention of RECURRENT VENOUS THROMBOEMBOLISM,RECURRENT VENOUS THROMBOEMBOLISM,CONVENTIONAL INTENSITY WARFARIN THERAPY
DISEASE (SUBACUTE NECROTIZING ENCEPHALOMYELOPATHY) causes DYSTONIA,causes,0.936329177569044,"A case of Leigh's DISEASE (SUBACUTE NECROTIZING ENCEPHALOMYELOPATHY) is reported with such noteworthy features as early onset, DYSTONIA paraparesis the presence of low attenuation areas in both basal ganglias on computerized tomography of the brain and the presence of a high signal intensity in both basal ganglias in T2 weighted image by MR. The electron microscopic findings of muscle biopsy are suggestive of pleoconial mitochondrial myopathy.",DYSTONIA,DISEASE (SUBACUTE NECROTIZING ENCEPHALOMYELOPATHY)
HYPERTHERMIA treats HEPATOCELLULAR CARCINOMA,treats,0.975900072948533,This anecdotal case supports previous experimental evidence suggesting that TNF plus HYPERTHERMIA may be effective for treating unresectable HEPATOCELLULAR CARCINOMA,HYPERTHERMIA,HEPATOCELLULAR CARCINOMA
no_relation,causes,0.441726104299386,The histological finding of PSAMMOMA BODIES is important in the diagnosis of DUODENAL SOMATOSTATINOMAS,PSAMMOMA BODIES,DUODENAL SOMATOSTATINOMAS
LOVASTATIN treats HYPERCHOLESTEROLEMIA,treats,0.970494958830946,"Jones P, Kafonek S, Laurora I et al. Comparative dose efficacy study of atorvastatin versus lovastatin, pravastatin, LOVASTATIN and fluvastatin in patients with HYPERCHOLESTEROLEMIA (the CURVES study.",HYPERCHOLESTEROLEMIA,LOVASTATIN
TENDONS location TENDON RUPTURE,location,0.762000762001143,Subsequent TENDON RUPTURE was minimal and even TENDONS found to be thinned out at the time of surgery remained intact.,TENDONS,TENDON RUPTURE
HISTOPLASMOSIS diagnosis HISTOPLASMIN,diagnosis,0.942809041582064,The second was composed of 15 cases of HISTOPLASMOSIS with strong HISTOPLASMIN skin tests.,HISTOPLASMOSIS,HISTOPLASMIN
FLUORIDE SUPPLEMENTS treats CARIES,treats,0.979957887012223,The scientific evidence supports the efficacy of FLUORIDE SUPPLEMENTS in CARIES prevention but there is weaker support for their effectiveness.,CARIES,FLUORIDE SUPPLEMENTS
POSTERIOR FOSSA MEDULLOBLASTOMA CAUSING OBSTRUCTIVE HYDROCEPHALUS causes HEADACHE,causes,0.99124070716193,"The authors report a case of a 13 year old boy who presented with HEADACHE unsteadiness, diplopia and papilloedema due to POSTERIOR FOSSA MEDULLOBLASTOMA CAUSING OBSTRUCTIVE HYDROCEPHALUS.",HEADACHE,POSTERIOR FOSSA MEDULLOBLASTOMA CAUSING OBSTRUCTIVE HYDROCEPHALUS
MYOSITIS OSSIFICANS PROGRESSIVA causes PROGRESSIVE OSSIFICATION,causes,0.997054485501582,"MYOSITIS OSSIFICANS PROGRESSIVA is an autosomal dominant disease resulting in PROGRESSIVE OSSIFICATION and skeletal deformities, mainly in the connective tissue of muscle.",PROGRESSIVE OSSIFICATION,MYOSITIS OSSIFICANS PROGRESSIVA
TUBERCULOSIS diagnosis TUBERCULIN TESTING,diagnosis,0.9878291611472622,"In 1954, 70 of the 210 survey areas of the previous year were re surveyed in order to assess the trends in types and extent of tuberculosis and in reactions to TUBERCULIN TESTING during the year and to determine the TUBERCULOSIS incidence.",TUBERCULOSIS,TUBERCULIN TESTING
DIABETES causes DIABETIC NEUROPATHY,causes,0.9,A myo inositol related defect in nerve sodium potassium ATPase activity in experimental DIABETES has been suggested as a possible pathogenetic factor in DIABETIC NEUROPATHY,DIABETIC NEUROPATHY,DIABETES
no_relation,causes,0.717137165600636,? Data from cohort studies of patients with MEN2a reveal that PRIMARY HYPERPARATHYROIDISM is present in approximately 30% of patients with MEN2A.,PRIMARY HYPERPARATHYROIDISM,MEN2A
PPD treats TB,treats,0.36115755925730697,"If TB is a concern, a PPD is performed.",TB,PPD
no_relation,location,0.3396831102433789,The authors investigated the role of somatic mutations of the NEUROFIBROMATOSIS TYPE 2 (NF2) gene in SPORADIC MENINGIOMA,SPORADIC MENINGIOMA,NEUROFIBROMATOSIS TYPE 2
BRAIN location SSPE BRAIN TISSUES,location,0.911684611677103,"Moreover, the formation of large nuclear inclusions filled with smooth filaments appears to be a characteristic process of SSPE, but not of measles, since this type of inclusion is invariably seen in SSPE BRAIN TISSUES BRAIN cultures derived from them, and CV 1 cells infected with SSPE viruses.",BRAIN,SSPE BRAIN TISSUES
no_relation,location,0.78086880944303,"However, madarosis may be the presenting sign of DLE in the absence of any history of preceding erythema and scarring and should therefore be considered in the differential diagnosis of chronic BLEPHARITIS that persists despite usual medical management and EYELID hygiene.",EYELID,BLEPHARITIS
CHOLECYSTITIS causes GALLBLADDER METASTASIS,causes,0.963086824686154,The two reported cases and the 18 cases from the literature indicate that the physician must consider GALLBLADDER METASTASIS in melanoma patients presenting with symptoms compatible with CHOLECYSTITIS,GALLBLADDER METASTASIS,CHOLECYSTITIS
BEPRIDIL treats ANGINA,treats,0.8834522085987719,"Five of 15 patients receiving bepridil did not experience angina during treadmill exercise; in the remaining 10 patients, time to onset of ANGINA during exercise was 5.7 +/  0.9 minutes with BEPRIDIL as opposed to 4.5 +/  0.8 minutes with placebo (p less than 0.05.",ANGINA,BEPRIDIL
SEGMENTAL BRONCHI location BRONCHIECTASIS,location,0.744208407535251,"Of the 101 SEGMENTAL BRONCHI showing bronchiectasis on bronchography, CT correctly identified BRONCHIECTASIS in 98 segments (97%.",SEGMENTAL BRONCHI,BRONCHIECTASIS
no_relation,causes,0.768221279597376,DPA INDUCED CICATRICIAL PEMPHIGOID is a severe disease of both MUCOUS AND CUTANEOUS INVOLVEMENT with a prognosis similar to the spontaneous disease.,MUCOUS AND CUTANEOUS INVOLVEMENT,DPA INDUCED CICATRICIAL PEMPHIGOID
no_relation,location,0.8888888888888891,CIS is found in the CONTRALATERAL TESTIS in 5% of the patients with TESTICULAR GERM CELL CANCER,CONTRALATERAL TESTIS,TESTICULAR GERM CELL CANCER
ERECTILE DYSFUNCTION diagnosis INTRACORPOREAL PAPAVERINE,diagnosis,0.997458699830735,INTRACORPOREAL PAPAVERINE has been used as an out patient procedure to assess the ERECTILE DYSFUNCTION of 129 men.,ERECTILE DYSFUNCTION,INTRACORPOREAL PAPAVERINE
