direction,relation,relex_relcos,sentence,term1,term2
FIRST LINE ANTITUBERCULOSIS DRUGS treats MYCOBACTERIUM TUBERCULOSIS,treats,0.9578262852211508,"Ruiz Serrano MJ, Alcala L, Martinez L et al. In vitro activities of six fluoroquinolones against 250 clinical isolates of   MYCOBACTERIUM TUBERCULOSIS  susceptible or resistant to FIRST LINE ANTITUBERCULOSIS DRUGS.",MYCOBACTERIUM TUBERCULOSIS,FIRST LINE ANTITUBERCULOSIS DRUGS
LOW MOLECULAR WEIGHT HEPARIN treats RECURRENT VENOUS THROMBOEMBOLISM,treats,0.993883734673619,LOW MOLECULAR WEIGHT HEPARIN versus a coumarin for the prevention of RECURRENT VENOUS THROMBOEMBOLISM in patients with cancer.,RECURRENT VENOUS THROMBOEMBOLISM,LOW MOLECULAR WEIGHT HEPARIN
QUINIDINE treats VENTRICULAR TACHYCARDIA (VT),treats,0.9838699100999068,The efficacy of mexiletine and QUINIDINE in controlling ventricular couplets (VC) and VENTRICULAR TACHYCARDIA (VT) was compared in 156 trials (78 for each drug) in 114 consecutive patients.,VENTRICULAR TACHYCARDIA (VT),QUINIDINE
[ORAL VITAMIN C] treats [FLARES],treats,0.9615239476408228,Some patients are able to prevent [FLARES] with use of topical sunscreens and [ORAL VITAMIN C].,[FLARES],[ORAL VITAMIN C]
INSULIN GLARGINE treats TYPE 1 DIABETES,treats,0.8219949365267859,"Heise T, Nosek L, Ronn BB et al. Lower within subject variability of insulin detemir in comparison to NPH insulin and INSULIN GLARGINE in people with TYPE 1 DIABETES",TYPE 1 DIABETES,INSULIN GLARGINE
CYCLOSPORINE treats GRAFT VERSUS HOST DISEASE,treats,0.940720868383597,"Nash RA, Pepe MS, Storb R, et al: Acute GRAFT VERSUS HOST DISEASE: analysis of risk factors after allogeneic marrow transplantation and prophylaxis with CYCLOSPORINE and methotrexate.",GRAFT VERSUS HOST DISEASE,CYCLOSPORINE
LUPEOL treats TUMOR,treats,1.0,"Recent clinical studies have verified that red alder contains betulin and [LUPEOL], compounds shown to be effective against a variety of [TUMOR]s.",TUMOR,LUPEOL
TRETINOIN 0.025% GEL treats FACIAL ACNE VULGARIS,treats,0.995893206467704,"Webster GF, Berson D, Stein LF et al. Efficacy and tolerability of once daily tazarotene 0.1% gel versus once daily TRETINOIN 0.025% GEL in the treatment of FACIAL ACNE VULGARIS: a randomized trial.",FACIAL ACNE VULGARIS,TRETINOIN 0.025% GEL
TRIAMCINOLONE ACETONIDE treats INFLAMMATION,treats,0.9058216273,Alleviates cystoid macular edema (tvml 137tvml ) Intravitreal corticosteroids: Triamcinolone acetonide  Decrease tissue response to INFLAMMATION; inhibit accumulation of inflammatory cells; inhibit lymphocyte function  TRIAMCINOLONE ACETONIDE 4 mg/0.1 mL  Reduction of anterior and intermediate uveitis.,INFLAMMATION,TRIAMCINOLONE ACETONIDE
no_relation,treats,0.676123403782813,[MAJOR BLEEDING] occurred significantly less often with [DABIGATRAN 110 MG] than warfarin; dabigatran 150 mg had similar bleeding to warfarin.,[MAJOR BLEEDING],[DABIGATRAN 110 MG]
HYDROCHLOROTHIAZIDE treats HYPERTENSION,treats,0.9901475429766742,The efficacy and tolerability of a fixed combination of 5 mg of cilazapril and 12.5 mg of HYDROCHLOROTHIAZIDE against HYPERTENSION was evaluated in 36 patients (26 men and 10 women) between 33 68 years old.,HYPERTENSION,HYDROCHLOROTHIAZIDE
no_relation,treats,0.493196961916072,Bile REFLUX TO THE STOMACH is believed as one of the important PATHOGENESIS OF RESIDUAL GASTRITIS however the prevention for bile reflux cannot always heal the gastritis.,REFLUX TO THE STOMACH,PATHOGENESIS OF RESIDUAL GASTRITIS
ACETAMINOPHEN treats PAIN,treats,0.9950371902,Will giving ACETAMINOPHEN prevent the PAIN of the immunization.,PAIN,ACETAMINOPHEN
[DADLE] treats [MEAN ARTERIAL BLOOD PRESSURE],treats,0.722315118514615,Treatment with [DADLE] results in transient depression of [MEAN ARTERIAL BLOOD PRESSURE] and heart rate.,[MEAN ARTERIAL BLOOD PRESSURE],[DADLE]
BALSALAZIDE treats ULCERATIVE COLITIS,treats,0.992277876713668,"Medications associated with PPD are reviewed and the patient's use of mesalamine and BALSALAZIDE for ULCERATIVE COLITIS are deemed potential triggers, given their relative similarity to aspirin, a known trigger of PPD.",ULCERATIVE COLITIS,BALSALAZIDE
FLUORIDE treats DENTAL CARIES,treats,0.994134846772434,This paper reviews the probable mechanism of DENTAL CARIES and the role of FLUORIDE in the inhibition or reversal of that process.,DENTAL CARIES,FLUORIDE
ORLISTAT treats OBESITY,treats,0.9578262852211508,"James WP, Avenell A, Broom J et al. A one-year trial to assess the value of ORLISTAT in the management of OBESITY",OBESITY,ORLISTAT
DOXEPIN treats DEPRESSION,treats,0.8427009716003839,"Dunner DL, Cohn JB, Walshe T et al. Two combined, multicenter double blind studies of paroxetine and DOXEPIN in geriatric patients with major DEPRESSION",DEPRESSION,DOXEPIN
ANTIARRHYTHMIC DRUGS treats REENTRANT ARRHYTHMIAS,treats,0.4313310928137539,Our results suggest that the heart rate dependence of REENTRANT ARRHYTHMIAS might be of prognostic value in the administration of ANTIARRHYTHMIC DRUGS,REENTRANT ARRHYTHMIAS,ANTIARRHYTHMIC DRUGS
no_relation,treats,0.3,"Its main usefulness is the treatment of hyperkinetic movement disorders such as Huntington's disease and [TOURETTE SYNDROME], rather than for conditions such as [SCHIZOPHRENIA].",SCHIZOPHRENIA,TOURETTE SYNDROME
ISOTRETINOIN treats ACNE,treats,0.979957887012223,Association of suicide attempts with ACNE and treatment with ISOTRETINOIN: retrospective Swedish cohort study,ACNE,ISOTRETINOIN
PRINDOLOL treats HYPERTENSION,treats,0.5570860145000001,"1 ,   2 ,   3 ,   4  Class:  beta Adrenergic Blocking Agents 24:24; CV100 (VA)  Synonyms:  PRINDOLOL; Pindolol; Viskazide; Visken  Uses  Hypertension  Management of HYPERTENSION (alone or in combination with other classes of antihypertensive agents.",HYPERTENSION,PRINDOLOL
METFORMIN treats TYPE 2 DIABETES,treats,0.995893206467704,"STUDY SELECTION  Clinical trials and cohort studies were selected if they included patients with TYPE 2 DIABETES lasted ≥ 1 month, compared METFORMIN alone or combined with other treatments with placebo or any other hypoglycemic therapy, and reported the number of patients and duration of treatment.",TYPE 2 DIABETES,METFORMIN
no_relation,diagnosis,0.5303300858899109,"Diagnosis specific malignancies available for evaluation included ALL, acute myeloid leukaemia (AML), Hodgkin's disease, NHL, rhabdomyosarcoma, neuroblastoma, retinoblastoma, OSTEOSARCOMA Wilms' tumour, RETINOBLASTOMA Ewings' sarcoma, central nervous system (CNS) tumours and hepatoblastoma.",OSTEOSARCOMA,RETINOBLASTOMA
no_relation,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
no_relation,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
BRONCHIAL CARCINOMA diagnosis HEMOPTYSIS,diagnosis,0.308606699924184,"A chest x ray showing a large tumor like opacity in the left lower lobe and endoscopy visualizing a budding mass suggested a diagnosis of BRONCHIAL CARCINOMA in a 55 year old, tobacco smoking Cambodian who consulted for HEMOPTYSIS and altered general status.",HEMOPTYSIS,BRONCHIAL CARCINOMA
MYASTHENIA GRAVIS diagnosis INTRAVENOUS EDROPHONIUM CHLORIDE,diagnosis,1.0,Maximum velocity and amplitude of repetitive ( 1 per second) 30 degrees saccadic eye movements were quantitatively assessed for 4 minutes before and after INTRAVENOUS EDROPHONIUM CHLORIDE as a diagnostic test for MYASTHENIA GRAVIS,MYASTHENIA GRAVIS,INTRAVENOUS EDROPHONIUM CHLORIDE
no_relation,diagnosis,0.486664263392288,"Using standardised computer assisted face to face interviews, we determined and compared the prevalence of doctor diagnosed ATOPIC DISEASES (hay fever, asthma, ATOPIC DERMATITIS) in the study subjects and veterinarian diagnosed allergies in their pets.",ATOPIC DERMATITIS,ATOPIC DISEASES
OVARIES location OVARIAN ADENOCARCINOMA,location,0.944911182523068,"The autologous membrane bound antibodies strongly recognized cell surface antigens on four human ovarian cell lines and four surgical specimens of human OVARIAN ADENOCARCINOMA but did not react with normal human OVARIES non ovarian normal and neoplastic tissues, or non ovarian human cell lines by indirect immunofluorescence assay.",OVARIES,OVARIAN ADENOCARCINOMA
SKIN location PERSPIRATION,location,0.980196058819607,"It might take at least 12 days, when the pH of nitrite solution is lowered, for the concentration of NO to reach a level sufficiently high to activate guanylyl cyclase and so it seems unlikely that naturally circulating nitrite is involved in vasodilation in ischemic tissue through its conversion into NO. It is more realistic to consider that NO is produced at biologically significant concentrations from nitrite in PERSPIRATION on the SKIN",SKIN,PERSPIRATION
SMALL JOINTS OF THE HANDS location ARTHRITIS,location,0.8728715609439692,"The clinical features of the disease were morning stiffness, pain and limitation of motion of the dorsolumbar spine in four of the five members, associated with arthritis of the SMALL JOINTS OF THE HANDS in three, shoulder periARTHRITIS in two and costal cartilage pain in one.",SMALL JOINTS OF THE HANDS,ARTHRITIS
BONE location OSTEOMYELITIS,location,0.993883734673619,"As therapeutic agents of choice in the treatment of complicated infections, glycopeptide antibiotics are often preferentially used in cases of OSTEOMYELITIS an infection located in BONE and notoriously difficult to successfully manage.",BONE,OSTEOMYELITIS
JOINT location JOINT EFFUSION,location,0.7947194142390258,It has been reported that JOINT EFFUSION the excessive accumulation of joint fluid in and around the JOINT is related to temporomandibular joint (TMJ) disorders such as pain and disk displacement.,JOINT,JOINT EFFUSION
ANTIANGINAL EFFICACY diagnosis ANGINA DIARES,diagnosis,0.845154254728516,"ANTIANGINAL EFFICACY was assessed with ANGINA DIARES investigators, and patients global evaluations and with treadmill exercise test during placebo run in period and after 8 weeks of the therapy.",ANGINA DIARES,ANTIANGINAL EFFICACY
TUBERCULOSIS diagnosis TUBERCULIN TESTING,diagnosis,0.9594032236002472,TUBERCULOSIS was excluded by TUBERCULIN TESTING and bronchoalveolar lavage in both cases.,TUBERCULOSIS,TUBERCULIN TESTING
no_relation,diagnosis,0.34815531191139604,Serum or ASCITES ALPHA FETOPROTEIN (AFP) from patients with HEPATOCELLULAR CARCINOMA and from a cord blood were analyzed by affinity electrophoresis with two lectins mixed in agarose gel in a combination of concanavalin A (Con A) and Lens culinaris agglutinin A (LCA A) or of erythroagglutinating phytohemagglutinin (E PHA) and Allomyrina dichotoma lectin (allo A.,ASCITES ALPHA FETOPROTEIN,HEPATOCELLULAR CARCINOMA
no_relation,location,0.35921060405355,"This retrospective study correlated the mammographic manifestations and averaged nuclear grades using Holland, Van Nuys, and Lagios classifications in 37 cases of ductal carcinoma IN SITU (DCIS; microcalcifications alone were seen in 59.4%, MICROCALCIFICATIONS with associated mass in 19%, and mass alone in 21.6%.",MICROCALCIFICATIONS,IN SITU (DCIS)
JOINT location SEPTIC ARTHRITIS,location,0.919145030018058,BC]  Specific recommendation: ? Obtain joint fluid from the affected JOINT in all cases of suspected SEPTIC ARTHRITIS,JOINT,SEPTIC ARTHRITIS
no_relation,diagnosis,0.589767824619588,The screening usually consists of measuring thyroxin in dried blood spot specimens followed by measurement of thyrotropin if the results for THYROXIN are suggestive of HYPOTHYROIDISM,HYPOTHYROIDISM,THYROXIN
VASOVAGAL SYNCOPE diagnosis ISOPROTERENOL TEST,diagnosis,0.956182887467515,Thus the nitroglycerin test seems to be a useful alternative tool for diagnosis of VASOVAGAL SYNCOPE; it is equally specific but more sensitive and feasible than the ISOPROTERENOL TEST.,VASOVAGAL SYNCOPE,ISOPROTERENOL TEST
VASOVAGAL SYNCOPE diagnosis ISOPROTERENOL,diagnosis,0.9931270663228408,"Head up tilt table testing, either alone or with a graded dose infusion of ISOPROTERENOL is a useful diagnostic test for identifying persons who are susceptible to VASOVAGAL SYNCOPE",VASOVAGAL SYNCOPE,ISOPROTERENOL
NORMAL PALMAR SKIN location PALMAR LICHEN NITIDUS,location,0.3779644730092271,We conclude that this histopathologic feature in PALMAR LICHEN NITIDUS could be the result of the superimposition of lichen nitidus on NORMAL PALMAR SKIN resulting in a picture resembling hypertrophic lichen planus.,NORMAL PALMAR SKIN,PALMAR LICHEN NITIDUS
LUNGS location LUNG CANCER,location,0.8164965809277259,Quantitative counts of ferruginous bodies were performed on digests of LUNGS from 100 control and 30 LUNG CANCER patients.,LUNGS,LUNG CANCER
SODIUM FLUORIDE treats DENTAL CARIES,diagnosis,0.707106781186547,"A sample of 1,824 schoolchildren was randomly assigned to either the SODIUM FLUORIDE dentifrice or the stannous fluoride dentifrice and examined clinically and radiographically for DENTAL CARIES initially and after one, two, and three years of dentifrice usage.",DENTAL CARIES,SODIUM FLUORIDE
GLIOBLASTOMA MULTIFORME diagnosis MICROVASCULAR PROLIFERATION,diagnosis,0.6,The presence of MICROVASCULAR PROLIFERATION leads to the histological diagnosis of GLIOBLASTOMA MULTIFORME.,MICROVASCULAR PROLIFERATION,GLIOBLASTOMA MULTIFORME
TUBULOVILLOUS ADENOMA location HIGH GRADE DYSPLASIA,location,0.583459965991578,"A right hemicolectomy was performed, which revealed a TUBULOVILLOUS ADENOMA with HIGH GRADE DYSPLASIA located in the ascending colon, and a diffuse ischemic colitis.",HIGH GRADE DYSPLASIA,TUBULOVILLOUS ADENOMA
CHRONIC HEPATITIS diagnosis LIVER BIOPSY SPECIMEN,diagnosis,0.923380516876639,"In addition to the characterization of the degree of inflammation and fibrosis, the evaluation of a LIVER BIOPSY SPECIMEN from a patient with CHRONIC HEPATITIS includes a description of all of the findings present (e.g., steatosis, bile duct changes, granulomas, type of inflammatory cells, presence of iron, and Mallory hyaline) or a notation of their absence.",LIVER BIOPSY SPECIMEN,CHRONIC HEPATITIS
no_relation,diagnosis,0.301511344577764,"PDGFRA, PDGFRB, and EGFR were immunohistochemically, biochemically, cytogenetically, and mutationally analyzed along with the detection of their cognate ligands in 16 NEUROFIBROMATOSIS TYPE 1 (NF1) related and 11 sporadic MPNSTS",MPNSTS,NEUROFIBROMATOSIS TYPE 1
PAPAVERINE treats ERECTILE DYSFUNCTION,diagnosis,0.7559289460184542,To evaluate the use of papaverine induced erection as a diagnostic test in men with ERECTILE DYSFUNCTION 24 patients had PAPAVERINE injected into the corpus cavernosum.,ERECTILE DYSFUNCTION,PAPAVERINE
BONE location PSEUDARTHROSIS,location,0.309529293013655,Instability of BONE fragments is regarded as the most important factor in pathogenesis of PSEUDARTHROSIS,BONE,PSEUDARTHROSIS
no_relation,diagnosis,0.33333333333333304,"Visual evoked potentials (VEPs) produced by pattern reversal were compared with those elicited by onset of motion in 37 amblyopic children (20 with anisometropic amblyopia, seven with STRABISMIC AMBLYOPIA and 10 with both anisometropia and STRABISMUS",STRABISMIC AMBLYOPIA,STRABISMUS
no_relation,diagnosis,0.549442255794756,"a  Patch testing (e.g., 1% bacitracin in petrolatum) may be useful in diagnosing suspected ALLERGIC CONTACT DERMATITIS when HYPERSENSITIVITY to other topical antibiotics (e.g., neomycin) is suspected.",ALLERGIC CONTACT DERMATITIS,HYPERSENSITIVITY
no_relation,location,0.753778361444409,"In chronic active hepatitis of viral (132 cases) and autoimmune etiology livers (20 cases) with or without cirrhosis, the incidence of membranous expression of Lewis Y in clustered hepatocytes of viral and autoimmune etiology LIVERS was 21 and 0% of mild chronic active hepatitis; 69 and 25% of moderate degree; 85 and 50% of severe degree; and 87 and 100% of CIRRHOSIS respectively.",LIVERS,CIRRHOSIS
NERVOUS SYSTEM location NEUROLOGICAL DISEASES,location,0.889000889001333,This review summarizes the current knowledge of the function of microRNAs in the developing and adult NERVOUS SYSTEM and their potential contribution to the etiology of NEUROLOGICAL DISEASES,NERVOUS SYSTEM,NEUROLOGICAL DISEASES
TEETH location DENTAL PLAQUES,location,0.801783725737273,"DENTAL PLAQUES were detected in all the teeth under investigation, with the exception of impacted TEETH.",TEETH,DENTAL PLAQUES
no_relation,location,0.3651483716701111,"In order to objectify the degree of dysplasia, results of nuclear and cellular morphometry were compared with assessed grades of DYSPLASIA in 32 COLORECTAL ADENOMATOUS POLYPS",DYSPLASIA,COLORECTAL ADENOMATOUS POLYPS
TUBERCULOSIS diagnosis PPD SKIN TEST,diagnosis,0.936329177569044,"Lower fracture risk by arranging for home safety assessment and devices to improve gait stability, and by recommending tai chi or other balance exercises Arrange periodic ophthalmologic screening for cataracts (posterior subcapsular) and glaucoma to detect vision loss Anticipate reactivation of TUBERCULOSIS and obtain a PPD SKIN TEST before beginning high dose steroid therapy Recommend dietary modification to avoid weight gain and to monitor for hyperglycemic symptoms.",TUBERCULOSIS,PPD SKIN TEST
no_relation,diagnosis,0.34815531191139604,Ten patients were positive for antibodies to the HUMAN IMMUNODEFICIENCY VIRUS (HIV three were negative for antibodies to the HUMAN IMMUNODEFICIENCY VIRUS and ten refused testing.,HUMAN IMMUNODEFICIENCY VIRUS (HIV),HUMAN IMMUNODEFICIENCY VIRUS
OVARIAN MUCINOUS ADENOCARCINOMAS location ASCITES,location,0.707106781186547,"On cytology it was found that cancer cells in the ascites from OVARIAN MUCINOUS ADENOCARCINOMAS were HNF4 alpha positive, but tumor cells in ASCITES from other types of ovarian carcinomas were negative for HNF4 alpha.",ASCITES,OVARIAN MUCINOUS ADENOCARCINOMAS
LUNGS location IDIOPATHIC PULMONARY FIBROSIS,location,0.960768922830523,"HDGF was more highly expressed in the lungs of IDIOPATHIC PULMONARY FIBROSIS chiefly in the epithelial cells, than in control nonfibrotic LUNGS.",LUNGS,IDIOPATHIC PULMONARY FIBROSIS
LUNG location LUNG CANCER,location,0.9733285267845748,"The frequencies of abnormal transcripts were 59% in lung cancer, 35% in paired normal lung, and 64% in normal control lung; the difference in frequencies between LUNG cancer and paired normal lung was significant, while that between LUNG CANCER and normal control lung was not.",LUNG,LUNG CANCER
LIVER location HEPATOCELLULAR NECROSIS,location,0.964901281354015,"Furthermore, histological analyses verified significant HEPATOCELLULAR NECROSIS as well as enhanced myeloperoxidase staining in these LIVER specimens.",LIVER,HEPATOCELLULAR NECROSIS
no_relation,diagnosis,0.7427813527082071,When tolerant rats are later allowed to drink milk from a bottle in AN UNINTOXICATED STATE TOLERANCE IS LOST EVEN when drug exposure is held constant by ADMINISTRATION OF THE DRUG AFTER THE TEST.,ADMINISTRATION OF THE DRUG AFTER THE TEST,AN UNINTOXICATED STATE TOLERANCE IS LOST EVEN
BONE MARROW location LEUKEMIA,location,0.977355554850442,Short  and long term co cultures of 49 cases of human osteosarcoma cells with BONE MARROW or peripheral blood cells of patients with different types of LEUKEMIA were studied.,BONE MARROW,LEUKEMIA
BRAIN location EPILEPSY,location,0.529812942826018,"In the present study, the influence of organic alterations in the BRAIN on the age of manifestation of EPILEPSY was investigated by means of cranial computer tomography (CCT) in 307 children and adolescents.",BRAIN,EPILEPSY
no_relation,diagnosis,0.927172649945531,The effect of repeated transient global ischemia and microdialysis on changes in aminergic neurotransmitter release was investigated using the RAT FOUR VESSEL OCCLUSION MODEL of global ISCHEMIA,RAT FOUR VESSEL OCCLUSION MODEL,ISCHEMIA
SKIN location URTICARIA,location,0.956182887467515,Repeated exposures over a period of hours induce a state of tolerance in the SKIN so that URTICARIA fails to develop.,SKIN,URTICARIA
no_relation,diagnosis,0.493196961916072,"To define patients with an ascitic fluid polymorphonuclear cell count &gt; or = 250 cells/mm3 or &gt; or = 500 cells/mm3 but without spontaneous bacterial peritonitis, 166 patients with STERILE CIRRHOTIC AScites, 46 patients with spontaneous bacterial peritonitis, 123 patients WITH HEPATOCELLULAR CARCinoma, 67 patients with peritoneal carcinomatosis or massive liver metastasis and 12 patients with other miscellaneous diseases were studied.",STERILE CIRRHOTIC AS,WITH HEPATOCELLULAR CARC
no_relation,diagnosis,0.802955068546966,This article concerns the electrocardiogram in ventricular tachycardias with two themes: differentiAL DIAGNOSIS Of wide QRS complex TACHYCARDIAS AND RECOGNITION OF THE SITE OF origin of a ventricular tachycardia.,TACHYCARDIAS AND RECOGNITION OF THE SITE OF,AL DIAGNOSIS O
STOMACH location EARLY GASTRIC CANCER,location,0.9539980920057242,We studied the clinicopathological features of four EARLY GASTRIC CANCER patients with DSCs in the submucosal layer of the STOMACH,STOMACH,EARLY GASTRIC CANCER
no_relation,location,0.308606699924184,"We propose, therefore, that the preferential impairment of the oxidative and secretory responses of ISLET CELLS to D glucose in this experimental model of DIABETES may be at least partly attributable to an altered transfer of reducing equivalents into the mitochondria as mediated by the glycerol phosphate shuttle.",ISLET CELLS,DIABETES
KIDNEYS location PYELONEPHRITIS,location,0.9237604307034007,"In the pathogenesis of glomerulonephritis, acute renal failure, PYELONEPHRITIS and other diseases of the KIDNEYS oxygen radicals are involved.",KIDNEYS,PYELONEPHRITIS
no_relation,location,0.371390676354104,"The clinicopathologic features of intestinal type adenocarcinoma have been well documented in the stomach, and INTESTINAL METAPLASIA and INTESTINAL TYPE ADENOCARCINOMA has also been reported in the gallbladder.",INTESTINAL METAPLASIA,INTESTINAL TYPE ADENOCARCINOMA
MIDDLE AND LOWER ESOPHAGUS location ESOPHAGEAL TUMOR,location,0.9838699100999068,The ESOPHAGEAL TUMOR showed a fungating growth at the junction of the MIDDLE AND LOWER ESOPHAGUS and was composed microscopically of submucosal multiple nests with solid and cribriform like patterns accompanied with a small focus of squamous cell carcinoma adjacent to the overlying esophageal epithelium.,MIDDLE AND LOWER ESOPHAGUS,ESOPHAGEAL TUMOR
BRAIN location STROKE,location,0.8082903768654759,"The restoration of blood flow to a part of the body previously deprived of adequate circulation, such as the heart muscle (in myocardial infarction) or the BRAIN (in STROKE",BRAIN,STROKE
SKIN location ECZEMA,location,0.964763821237732,"All patients had ECZEMA on their hands; in addition, 4 had SKIN symptoms on airborne areas, i.e., wrists, neck and face.",SKIN,ECZEMA
CUSHING'S SYNDROME diagnosis METYRAPONE TESTING TESTING,diagnosis,1.0,"Differential diagnosis of CUSHING'S SYNDROME involves: plasma ACTH level determination, high dose dexamethasone testing, METYRAPONE TESTING TESTING with CRH, testing with vasopressin or combination, and finally, bilateral simultaneous petrosal sinus sampling with CRH stimulation.",CUSHING'S SYNDROME,METYRAPONE TESTING TESTING
no_relation,diagnosis,0.33333333333333304,"A VIRUS isolation was not possible, so that the definite PROOF OF A VIRAL INFECTION OF SHML could not be demonstrated.",VIRUS,PROOF OF A VIRAL INFECTION OF SHML
no_relation,diagnosis,0.629940788348712,In HYPERTENSIVE CRISIS evaluation for SECONDARY HYPERTENSION should be deferred until the patient is stable.,SECONDARY HYPERTENSION,HYPERTENSIVE CRISIS
MALIGNANT HYPERTHERMIA diagnosis HALOTHANE,diagnosis,0.9901475429766742,By the HALOTHANE test we determined the development of the syndrome of MALIGNANT HYPERTHERMIA in pigs of the Belgian Landrace breed with body weight of 20 kg.,MALIGNANT HYPERTHERMIA,HALOTHANE
no_relation,location,0.514495755427526,"Because of the extreme sensitivity of the thyroid gland in children, there is a risk OF RADIATION INDUCED THYROID CANCER EVEN WHEN THE THYROID GLAND IS OUTSIDE OF the irradiated field.",EVEN WHEN THE THYROID GLAND IS OUTSIDE OF,OF RADIATION INDUCED THYROID CANCER
BRONCHIAL HYPERREACTIVITY diagnosis METHACHOLINE CHLORIDE SOLUTIONS,diagnosis,1.0,METHACHOLINE CHLORIDE SOLUTIONS routinely used for testing BRONCHIAL HYPERREACTIVITY have been shown to degrade over time.,BRONCHIAL HYPERREACTIVITY,METHACHOLINE CHLORIDE SOLUTIONS
SKIN location LICHENOID ERUPTION,location,0.768349819927832,Histological examination of the SKIN was consistent with a LICHENOID ERUPTION in all cases.,SKIN,LICHENOID ERUPTION
no_relation,diagnosis,0.381000381000572,"Improvement of polycythemia was observed in all 5 patients with polycythemia vera, and reduction of THROMBOCYTOSIS was observed in 5 out of 6 patients with ESSENTIAL THROMBOCYTHEMIA and myelofibrosis.",THROMBOCYTOSIS,ESSENTIAL THROMBOCYTHEMIA
no_relation,diagnosis,0.98058067569092,These cases highlight the importance of considering PTLD in the differential diagnosis of LYMPHADENOPATHY and fever post ASCT.,LYMPHADENOPATHY,PTLD
PROSTATES location PROSTATIC CARCINOMAS,location,0.979957887012223,We investigate the presence of HPV in 60 prostatic benign hyperplasias and in 5 PROSTATIC CARCINOMAS in surgically resected PROSTATES by PCR technique using consensus and type specific primers.,PROSTATES,PROSTATIC CARCINOMAS
MALIGNANT HYPERTHERMIA diagnosis HALOTHANE,diagnosis,0.9931270663228408,MALIGNANT HYPERTHERMIA susceptibility was assessed by HALOTHANE challenge of pigs.,MALIGNANT HYPERTHERMIA,HALOTHANE
KNEE JOINTS location CLINICAL ARTHRITIS,location,0.975900072948533,"Shortly after intravenous injection of 99mTechnetium pertechnetate (99mTcO4 )(200 muCi), the activity of the KNEE JOINTS was studied in patients with CLINICAL ARTHRITIS of one or both knees and compared with that in normal subjects.",KNEE JOINTS,CLINICAL ARTHRITIS
CHRONIC LYMPHOCYTIC LEUKEMIA diagnosis BILATERAL GROIN ADENOPATHY,diagnosis,0.784464540552736,"Five months later, BILATERAL GROIN ADENOPATHY was biopsy proven to be metastatic melanoma and CHRONIC LYMPHOCYTIC LEUKEMIA and the patient died 8 months after the radical vulvectomy.",BILATERAL GROIN ADENOPATHY,CHRONIC LYMPHOCYTIC LEUKEMIA
ASCITES location HEPATOMA,location,0.78086880944303,The activities of nucleoside diphosphatase in various rat ASCITES cells of HEPATOMA and fetal and neonatal rat liver were much lower than that of normal adult rat liver.,ASCITES,HEPATOMA
MYASTHENIA GRAVIS diagnosis EDROPHONIUM (TENSILON) TEST,diagnosis,1.0,A bedside EDROPHONIUM (TENSILON) TEST in our emergency department confirmed the diagnosis of MYASTHENIA GRAVIS,MYASTHENIA GRAVIS,EDROPHONIUM (TENSILON) TEST
STOMACH location GASTRIC CARCINOMA,location,0.984731927834662,"Applications of endoscopic US in the STOMACH include staging of GASTRIC CARCINOMA localization and characterization of nonmucosal gastric masses, detection and evaluation of gastric varices, and evaluation of gastric lymphoma.",STOMACH,GASTRIC CARCINOMA
BONE MARROW location MYELOGENOUS LEUKEMIA,location,0.848528137423857,This study shows that both recombinant human interleukin (rhIL)3 and rhIL4 induced proliferation in BONE MARROW (BM) cells of MYELOGENOUS LEUKEMIA patients in a manner similar to that reported using normal BM cells.,BONE MARROW,MYELOGENOUS LEUKEMIA
no_relation,diagnosis,0.387298334620742,We collected resource use data prospectively for 930 patients alongside a multinational trial of ZOLEDRONIC ACID versus pamidronate for patients with METASTATIC MULTIPLE MYELOMA or breast cancer and > or =1 bone lesion.,METASTATIC MULTIPLE MYELOMA,ZOLEDRONIC ACID
SKIN location GENERALIZED HIVES,location,0.9830783046228492,"Acute onset of an illness (over minutes to several hours) involving the SKIN mucosal tissue, or both (e.g., GENERALIZED HIVES; pruritus or flushing; swollen lips, tongue, or uvula) and at least one of the following:  a.",SKIN,GENERALIZED HIVES
CEREBELLUM location CEREBELLAR ATAXIA,location,0.855186110494136,The laterality of CEREBELLAR ATAXIA was significantly correlated with AI in the CEREBELLUM in patients with sOPCA.,CEREBELLUM,CEREBELLAR ATAXIA
BREAST EPITHELIAL STEM CELLS location BREAST CANCER,location,0.9494253265550828,BREAST EPITHELIAL STEM CELLS are thought to be the primary targets in the aetiology of BREAST CANCER,BREAST EPITHELIAL STEM CELLS,BREAST CANCER
PRINZMETAL VARIANT ANGINA diagnosis ERGOMETRINE,diagnosis,0.970142500145332,"ERGOMETRINE is currently used as a test for PRINZMETAL VARIANT ANGINA causing specifically a coronary artery spasm in these patients, even if the mechanism of this drug on coronaries is still unclear.",PRINZMETAL VARIANT ANGINA,ERGOMETRINE
